1370145686266,1165cc99e62c8c01956a40642b4dc95f,10,1,false,undefined,undefined,175.0
1370145686266,38ae55a4381e5f6d7d3f67b98ed316ab,50,0,false,undefined,undefined,175.0
1370145686266,fceae47435bf4e194bcde31ac8370142,25,2,false,undefined,undefined,175.0
1370145686266,fda44cc539bb9f91f884cc9f0a4aae50,1000,0,true,3,false,175.0
1370145686266,2365ac3f0d8a851a03dab6cc0bbe1863,500,0,true,5,false,175.0
1370145686266,bd3a940b1cae93340bdad0a39020a271,100,1,true,50,false,175.0
1370145686266,a915f5f34aee4b39483fd205dd3581c9,15,0,false,undefined,undefined,175.0
1370145686266,d07c57809d879c3966ae27d77ca38e2f,5,2,false,undefined,undefined,175.0
1370147806371,d07c57809d879c3966ae27d77ca38e2f,5,2,false,,,205.0
1370147806371,1165cc99e62c8c01956a40642b4dc95f,10,1,false,,,205.0
1370147806371,a915f5f34aee4b39483fd205dd3581c9,15,0,false,,,205.0
1370147806371,38ae55a4381e5f6d7d3f67b98ed316ab,50,0,false,,,205.0
1370147806371,bd3a940b1cae93340bdad0a39020a271,100,1,true,50,false,205.0
1370147806371,2365ac3f0d8a851a03dab6cc0bbe1863,500,0,true,5,false,205.0
1370147806371,fda44cc539bb9f91f884cc9f0a4aae50,1000,0,true,3,false,205.0
1370147806371,fceae47435bf4e194bcde31ac8370142,25,3,false,,,205.0
1370147845617,d07c57809d879c3966ae27d77ca38e2f,5,2,false,,,205.0
1370147845617,1165cc99e62c8c01956a40642b4dc95f,10,1,false,,,205.0
1370147845617,fceae47435bf4e194bcde31ac8370142,25,3,false,,,205.0
1370147845617,bd3a940b1cae93340bdad0a39020a271,100,1,true,50,false,205.0
1370147845617,2365ac3f0d8a851a03dab6cc0bbe1863,500,0,true,5,false,205.0
1370147845617,fda44cc539bb9f91f884cc9f0a4aae50,1000,0,true,3,false,205.0
1370147845617,a915f5f34aee4b39483fd205dd3581c9,15,0,false,,,205.0
1370147845617,38ae55a4381e5f6d7d3f67b98ed316ab,50,0,false,,,205.0
