1370145683617,9c6a079440c99bd72275c483a9840460,2,1,false,undefined,undefined,27.0
1370145683617,10c66ae700576164c062c2ab6753eb38,25,1,false,undefined,undefined,27.0
1370145683617,81a716aa416e9f2260e1671c6b4951ea,50,0,false,undefined,undefined,27.0
1370145683617,1c3cb871becef56b6bcc46a12bcd506c,70,0,false,undefined,undefined,27.0
1370145683617,90f842f11dbe3533216f12450b03a83a,20,0,true,100,false,27.0
1370145683617,b317c958e52bfe0482d8613bc69c4a23,200,0,false,undefined,undefined,27.0
1370145683617,70608bd00971d46fd1fd24ec471b2711,10000,0,true,6,false,27.0
1370147807297,9c6a079440c99bd72275c483a9840460,2,1,false,,,27.0
1370147807297,70608bd00971d46fd1fd24ec471b2711,10000,0,true,6,false,27.0
1370147807297,1c3cb871becef56b6bcc46a12bcd506c,70,0,false,,,27.0
1370147807297,b317c958e52bfe0482d8613bc69c4a23,200,0,false,,,27.0
1370147807297,90f842f11dbe3533216f12450b03a83a,20,0,true,100,false,27.0
1370147807297,81a716aa416e9f2260e1671c6b4951ea,50,0,false,,,27.0
1370147807297,10c66ae700576164c062c2ab6753eb38,25,1,false,,,27.0
1370147846254,9c6a079440c99bd72275c483a9840460,2,1,false,,,27.0
1370147846254,90f842f11dbe3533216f12450b03a83a,20,0,true,100,false,27.0
1370147846254,1c3cb871becef56b6bcc46a12bcd506c,70,0,false,,,27.0
1370147846254,b317c958e52bfe0482d8613bc69c4a23,200,0,false,,,27.0
1370147846254,10c66ae700576164c062c2ab6753eb38,25,1,false,,,27.0
1370147846254,70608bd00971d46fd1fd24ec471b2711,10000,0,true,6,false,27.0
1370147846254,81a716aa416e9f2260e1671c6b4951ea,50,0,false,,,27.0
1370148446054,9c6a079440c99bd72275c483a9840460,2,1,false,,,27.0
1370148446054,90f842f11dbe3533216f12450b03a83a,20,0,true,100,false,27.0
1370148446054,10c66ae700576164c062c2ab6753eb38,25,1,false,,,27.0
1370148446054,81a716aa416e9f2260e1671c6b4951ea,50,0,false,,,27.0
1370148446054,1c3cb871becef56b6bcc46a12bcd506c,70,0,false,,,27.0
1370148446054,b317c958e52bfe0482d8613bc69c4a23,200,0,false,,,27.0
1370148446054,70608bd00971d46fd1fd24ec471b2711,10000,0,true,6,false,27.0
1370149548994,9c6a079440c99bd72275c483a9840460,2,1,false,0,false,27.0
1370149548994,90f842f11dbe3533216f12450b03a83a,20,0,true,100,false,27.0
1370149548994,10c66ae700576164c062c2ab6753eb38,25,1,false,0,false,27.0
1370149548994,81a716aa416e9f2260e1671c6b4951ea,50,0,false,0,false,27.0
1370149548994,b317c958e52bfe0482d8613bc69c4a23,200,0,false,0,false,27.0
1370149548994,1c3cb871becef56b6bcc46a12bcd506c,70,0,false,0,false,27.0
1370149548994,70608bd00971d46fd1fd24ec471b2711,10000,0,true,6,false,27.0
